
99.53228263463205,0.031081438064575195
99.51911885269759,0.3092489242553711
99.50651935299813,0.5586531162261963
99.49429697732775,0.8003802299499512
99.48094470662097,1.0565307140350342
99.46895865907914,1.3144359588623047
99.45689733077442,1.551271677017212
99.44408837062264,1.810408353805542
99.43166383430466,2.0571494102478027
99.41918806507579,2.306307077407837
99.40751413912056,2.544325828552246
99.39380133374044,2.7965385913848877
99.38121977837719,3.0502171516418457
99.3687022488938,3.298849105834961
99.35645997576216,3.5583670139312744
99.34419748778646,3.807060480117798
99.3310251975511,4.054611921310425
99.31898980918818,4.309337615966797
99.30677539250226,4.555658340454102
99.29415738694314,4.8046653270721436
99.28196837308965,5.047782897949219
99.26893855111814,5.30700421333313
99.25680146597635,5.549444913864136
99.24517893162349,5.787096738815308
99.23149914626337,6.056870222091675
99.21863824519282,6.3146772384643555
99.2065855838804,6.5539233684539795
99.19397478046983,6.807978391647339
99.18138443604393,7.062727212905884
99.16948491194083,7.294788122177124
99.15697130091455,7.546884059906006
99.14358112737517,7.8017988204956055
99.13119675219063,8.06640338897705
99.11835573637427,8.307742595672607
99.10625915416276,8.565922975540161
99.09403110222273,8.809672117233276
99.0810580429474,9.052794218063354
99.0692001448215,9.300682544708252
99.05679253965612,9.55273175239563
99.04404705606775,9.805500745773315
99.03129676290898,10.056429624557495
99.01960860355511,10.302720785140991
99.00701204575024,10.541754007339478
98.99391470668789,10.810804605484009
98.98164963082152,11.050235986709595
98.96938594655674,11.294464588165283
98.95708666658831,11.541642189025879
98.94454540663585,11.796505212783813
98.93217517940074,12.039950132369995
98.91960529395952,12.29310393333435
98.90709945881224,12.54105019569397
98.8946361285484,12.793308734893799
98.88190557415949,13.047830820083618
98.86963097680864,13.292498588562012
98.85711588873151,13.539486408233643
98.844428998894,13.80013632774353
98.83208554167884,14.043324947357178
98.82061066357815,14.282054662704468
98.80681964774767,14.547312021255493
98.74525924643972,15.784694910049438,HIDING
98.69452468757825,16.789326429367065,HIDING
98.64396968194215,17.806344032287598,HIDING
98.59311728860627,18.826406955718994,HIDING
98.54217109644087,19.84026551246643,HIDING
98.49143810007942,20.856183528900146,HIDING
98.44132931027023,21.86110830307007,HIDING
98.39060750775658,22.87634587287903,HIDING
98.33965029264179,23.88979411125183,HIDING
98.28897654921096,24.90635085105896,HIDING
98.23815917784823,25.925118446350098,HIDING
98.187134616541,26.939727306365967,HIDING
98.13649681061068,27.957029581069946,HIDING
98.08565780838823,28.97800636291504,HIDING
98.03469947022654,29.990394592285156,HIDING
97.98398307542782,31.00708818435669,HIDING
97.93308809175927,32.02577543258667,HIDING
97.88217039080521,33.039846658706665,HIDING
97.83210693791077,34.04260730743408,HIDING
97.78146771596471,35.057217836380005,HIDING
97.73062215856643,36.07641649246216,HIDING
97.67971375937039,37.090656995773315,HIDING
97.62897531867294,38.10686683654785,HIDING
97.57816833549396,39.12757229804993,HIDING
97.52718557106239,40.13939356803894,HIDING
97.4771532583051,41.1427116394043,HIDING
97.42646587962008,42.1566686630249,HIDING
97.37561556147959,43.17581272125244,HIDING
97.32560486737502,44.1781587600708,HIDING
97.2746614339987,45.19112253189087,HIDING
97.22398865492333,46.205920934677124,HIDING
97.17312793639196,47.226120471954346,HIDING
97.12216563094506,48.239715576171875,HIDING
97.07249614778304,49.242257595062256,HIDING
97.02156329790301,50.25331091880798,HIDING
96.97104945437688,51.26384615898132,HIDING
96.92038878467669,52.281537771224976,HIDING
96.86997027806599,53.290830850601196,HIDING
96.81935943746808,54.29507064819336,HIDING
96.7688379523403,55.307825803756714,HIDING
96.71807000724783,56.32623505592346,HIDING
96.66789045327748,57.329341650009155,HIDING
96.6169379256628,58.34678649902344,HIDING
96.56645079112145,59.3623628616333,HIDING
96.51581578060132,60.36782193183899,HIDING
96.46573026960112,61.37044286727905,HIDING
96.41525799101701,62.39009213447571,HIDING
96.36413294142699,63.40267634391785,HIDING
96.31385321655671,64.41363573074341,HIDING
96.26277333298304,65.43525862693787,HIDING
96.21274020235468,66.43755054473877,HIDING
96.16187463763184,67.44720602035522,HIDING
96.11119663394703,68.46005988121033,HIDING
96.06125040517543,69.4758551120758,HIDING
96.01007248693237,70.48922419548035,HIDING
95.95898226400308,71.50326108932495,HIDING
95.90832070318956,72.51886653900146,HIDING
95.85773782890067,73.5374801158905,HIDING
95.8068223130053,74.5446343421936,HIDING
95.75669860620371,75.55118083953857,HIDING
95.70637958689917,76.55672526359558,HIDING
95.65588711788507,77.56997561454773,HIDING
95.6050850785538,78.5881335735321,HIDING
95.55414048550955,79.60424852371216,HIDING
95.50349772352443,80.6152856349945,HIDING
95.4522444024482,81.63211488723755,HIDING
95.40238787094353,82.64088106155396,HIDING
95.35172617585268,83.6501533985138,HIDING
95.30103739335907,84.66319918632507,HIDING
95.25038910158875,85.66515183448792,HIDING
95.20032265797154,86.68471026420593,HIDING
95.14919953709254,87.70001220703125,HIDING
95.09844453145344,88.71553158760071,HIDING
95.0482836786552,89.72029685974121,HIDING
94.99742327750664,90.74721813201904,HIDING
94.94640455116057,91.75631880760193,HIDING
94.89576097130437,92.77131772041321,HIDING
94.8449595667388,93.78907060623169,HIDING
94.79403217340186,94.80344557762146,HIDING
94.74341991678835,95.81740522384644,HIDING
94.69313346584373,96.82306170463562,HIDING
94.6424944758313,97.84037017822266,HIDING
94.59236855955699,98.84168267250061,HIDING
94.54177455245538,99.85040211677551,HIDING
94.49146704438154,100.85523200035095,HIDING
94.44117312273373,101.86345982551575,HIDING
94.39034834170296,102.88661026954651,HIDING
94.33914504504152,103.90063428878784,HIDING
94.28898126255584,104.90383911132812,HIDING
94.23884363973842,105.90843367576599,HIDING
94.23781473347309,105.93595862388611
94.22301843198308,106.21397686004639
94.20626630771005,106.56179451942444
94.19017424204054,106.88983941078186
94.17346891952597,107.21837139129639
94.15699326010078,107.54563856124878
94.1401645367055,107.89004302024841
94.12329195344624,108.22112607955933
94.10644996100778,108.56159090995789
CAPTURE
CAPTURE
99.50878623535615,0.025690793991088867
99.49822766586288,0.24627256393432617
99.4857098434107,0.49460411071777344
99.47318436714986,0.7446157932281494
99.46072550465951,0.9952394962310791
99.44820705964878,1.2454404830932617
99.43568135145433,1.4948301315307617
99.42322611445235,1.7448585033416748
99.41070279883603,1.9953758716583252
99.39815878009442,2.2455999851226807
99.38567770080684,2.4951987266540527
99.37322370892204,2.7447099685668945
99.36071789818881,2.995062828063965
99.34822352544404,3.24534273147583
99.33550669175845,3.4948105812072754
99.32321266081352,3.74372935295105
99.31050864451092,3.9992804527282715
99.29822066825362,4.24683690071106
99.28567574619169,4.4946324825286865
99.27288708633311,4.751310586929321
99.26062113156051,4.995587348937988
99.24823562112206,5.245573997497559
99.23569598470475,5.4947333335876465
99.22321408754613,5.744689702987671
99.21070883833634,5.9953932762146
99.19818945338417,6.245151519775391
99.18560325934897,6.495393514633179
99.17321236560963,6.744699716567993
99.16072222870477,6.995155334472656
99.148210766116,7.245225429534912
99.13566883477675,7.49444055557251
99.12321122961066,7.744539976119995
99.11072691545976,7.995219469070435
99.09822140990231,8.245201110839844
99.08556972514347,8.49470829963684
99.07321434165857,8.744499206542969
99.06072201969509,8.995224237442017
99.04823421433322,9.245161533355713
99.03570010770115,9.494836568832397
